No.,DexID,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitality,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type,Legendary,Sprite,Good Starter
000,0000,Egg,Normal,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,Starter,,,egg.png,
001,0001,Bulbasaur,Grass,Poison,3,2,4,2,4,2,4,2,4,2,4,Overgrow,,Chlorophyll,,Yes,,Beginner,,,bulbasaur.png,Yes
002,0002,Ivysaur,Grass,Poison,4,2,4,2,4,2,4,2,5,2,5,Overgrow,,Chlorophyll,,Yes,,Amateur,,,ivysaur.png,
003,0003,Venusaur,Grass,Poison,5,2,5,2,5,2,5,3,6,3,6,Overgrow,,Chlorophyll,,,Yes,Ace,,,venusaur.png,
003,0003M1,Mega-Venusaur,Grass,Poison,6,3,6,2,5,3,7,3,6,3,6,Thick Fat,,,,,,Pro,,,venusaur-mega.png,
004,0004,Charmander,Fire,,3,2,4,2,4,1,3,2,4,2,4,Blaze,,Solar Power,,Yes,,Beginner,,,charmander.png,Yes
005,0005,Charmeleon,Fire,,4,2,4,2,5,2,4,2,5,2,4,Blaze,,Solar Power,,Yes,,Amateur,,,charmeleon.png,
006,0006,Charizard,Fire,Flying,5,2,5,3,6,2,5,3,6,2,5,Blaze,,Solar Power,,,Yes,Ace,,,charizard.png,
006,0006M1,Mega-Charizard Y,Fire,Flying,6,3,6,3,6,2,5,4,8,3,6,Drought,,,,,,Pro,,,charizard-mega-y.png,
006,0006M2,Mega-Charizard X,Fire,Dragon,6,3,7,3,6,3,6,3,7,2,5,Tough Claws,,,,,,Pro,,,charizard-mega-x.png,
007,0007,Squirtle,Water,,3,2,4,1,3,2,4,2,4,2,4,Torrent,,Rain Dish,,Yes,,Beginner,,,squirtle.png,Yes
008,0008,Wartortle,Water,,4,2,4,2,4,2,5,2,4,2,5,Torrent,,Rain Dish,,Yes,,Amateur,,,wartortle.png,
009,0009,Blastoise,Water,,5,2,5,2,5,3,6,2,5,3,6,Torrent,,Rain Dish,,,Yes,Ace,,,blastoise.png,
009,0009M1,Mega-Blastoise,Water,,6,3,6,2,5,3,7,3,6,3,6,Mega Launcher,,,,,,Pro,,,blastoise-mega.png,
010,0010,Caterpie,Bug,,3,1,3,2,4,1,3,1,3,1,3,Shield Dust,,Run Away,,Yes,,Starter,,,caterpie.png,Yes
011,0011,Metapod,Bug,,4,1,3,1,3,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,,,metapod.png,Yes
012,0012,Butterfree,Bug,Flying,5,2,4,2,5,2,4,2,5,2,5,Compound Eyes,,Tinted Lens,,,,Amateur,,,butterfree.png,
013,0013,Weedle,Bug,Poison,3,1,3,2,4,1,3,1,3,1,3,Shield Dust,,Run Away,,Yes,,Starter,,,weedle.png,Yes
