Name,Type,DmgType,Power,Damage1,Damage2,Accuracy1,Accuracy2,Target,Effect,Description
Attack Order,bug,Physical,3,Strength,,Tough,Nature,Foe,High Critical. Ranged.,"The user calls upon her swarm and heeds them to charge against you. No matter where you run, they will surround you. Hope you are not allergic to bees."
Bug Bite,bug,Physical,2,Strength,,Dexterity,Brawl,Foe,"If the Target Pokemon is holding a berry, the user eats it and gains its effect.","The Pokemon nibbles its foe, if it finds something tasty it will eat it in an instant. It may try to eat almost anything."
Bug Buzz,bug,Special,3,Special,,Special,Perform,Foe,Sound Based. Roll 1 Chance Dice to reduce foe's Sp. Defense.,The Pokemon uses its wings or part of its body to emit sound waves that harm and affect the target.
Defend Order,bug,Support,0,,,Tough,Nature,User,User Increases its Defense and Sp. Defense.,"A swarm of bugs flies around the user, creating a barrier to protect this Pokemon from damage."
Fell Stinger,bug,Physical,1,Strength,,Dexterity,Brawl,Foe,If the foe faints due to damage from this attack increase the user's Strength by 2.,The Pokemon stings the target. If the foe is too weakened to move it absorbs part of its power.
First Impression,bug,Physical,3,Strength,,Strength,Intimidate,Foe,Priority 2. This move will only work the First Round the Pokemon is out in battle. From the second round on it will fail automatically.,"The Pokemon makes a dramatic entrance to the battlefield, taking the foe by surprise as to who its opponent really is."
Fury Cutter,bug,Physical,1,Strength,,Dexterity,Brawl,Foe,Successive Actions.,The Pokemon makes use of its claws or scythes to land as many hits as possible.
Heal Order,bug,Support,0,,,Tough,Nature,User,Basic Heal.,The Pokemon commands its swarm to bring some healing honey.
Infestation,bug,Special,1,Special,,Dexterity,Channel,Foe,Blocks. Roll 2 Dice of Damage against the foe at the end of each Round. Lasts 4 Rounds.,The Pokemon summons a huge swarm of bugs to prevent the foe from escaping. Sometimes the swarm may take a hit to the foe. The call extends for hundreds of yards.
Leech Life,bug,Physical,3,Strength,,Dexterity,Brawl,Foe,The user restores HP equal to half the damage dealt rounded down.,The user attacks a vital spot and sucks away the vitality of its foe.
Lunge,bug,Physical,3,Strength,,Dexterity,Brawl,Foe,Reduce foe's Strength.,"The user charges against the foe at full force, not just to knock it down but to restain it with its many limbs."
Megahorn,bug,Physical,5,Strength,,Strength,Brawl,Foe,Lethal Damage. -2 Accuracy.,The Pokemon uses its strong horn(s) to pierce its foe and deal massive damage.
Pin Missile,bug,Physical,1,Strength,,Dexterity,Brawl,Foe,Ranged. Successive Actions.,The Pokemon showers its foe with stings or spikes that pierce like needles.
Pollen Puff,bug,Special,3,Special,,Special,Channel,Foe,When this move is used against an ally it will heal 1 HP instead of dealing damage.,The Pokemon creates a puff of pollen that explodes on the foe's face and gives them a terrible allergy. When consumed these puffs are sweet and very nutritious.
Powder,bug,Support,0,,,Insight,Nature,Foe,Add 3 Dice of Damage to the next Fire Type attack that hits the target.,"The foe is fully covered with a flammable powder, a source of fire might ignite it with explosive results."
Quiver Dance,bug,Support,0,,,Beauty,Perform,User,"Increases Dexterity, Special, and Sp. Defense.",A mystical and beautiful dance that boosts a Pokemon's dexterity and focus.
Rage Powder,bug,Support,0,,,Insight,Intimidate,User,"Priority 2. During this Round, all damage moves from any foe must target the User.",The Pokemon releases an irritating powder that annoys and enrages foes into attacking.
Signal Beam,bug,Special,3,Special,,Special,Channel,Foe,Roll 1 Chance Dice to Confuse the foe.,The user emits an intense light that harms the foes and may leave them dazed like moths.
Silver Wind,bug,Special,2,Special,,Dexterity,Channel,Foe,Roll 1 Chance Dice to Increase User's Strength. Dexterity. Special. Defense. Sp. Defense.,"The Pokemon blows a beautiful silver colered wind that harms the foe, the performance may give the user a big confidence boost."
Spider Web,bug,Support,0,,,Insight,Stealth,Battlefield,Blocks.,The User quietly releases a web on the field. All foes will be trapped.
Steamroller,bug,Physical,2,Strength,,Dexterity,Brawl,Foe,Roll 3 Chance Dice to Flinch the foe.,The user curls up and rolls at full speed to strike the foe. It may leave the target swatted on the ground.
